ID,Machine Speed (m/s),Operator Training (0-10),Label Quality (0-10),Environment Cleanliness (0-10),Time Taken (minutes),Percentage of Failure (%),Failure Status (Binary)
1,0.67,7,6,5,28,11.87,Fail
2,0.79,4,10,6,23,4.81,Pass
3,0.49,3,4,4,14,4.45,Pass
4,0.77,4,4,1,23,8.74,Pass
5,0.94,3,8,0,15,10.92,Fail
6,0.78,1,9,8,15,3.42,Pass
7,0.45,8,3,9,24,7.05,Pass
8,0.52,1,4,5,12,10.04,Fail
9,0.49,1,10,3,26,10.09,Fail
10,0.38,8,2,7,25,11.9,Fail
11,1,1,3,9,23,15.96,Fail
12,0.36,10,2,9,11,3.67,Pass
13,0.5,7,2,8,21,5.43,Pass
14,0.67,4,1,3,13,8.15,Pass
15,0.89,9,0,10,20,16.78,Fail
16,0.44,4,9,8,19,4.91,Pass
17,0.87,8,9,10,24,5.15,Pass
18,0.56,2,10,9,24,0,Pass
19,0.87,5,10,4,19,4.08,Pass
20,0.31,3,1,6,28,0,Pass
21,0.77,4,8,5,24,12.2,Fail
22,0.5,0,9,7,16,0,Pass
23,0.53,4,1,1,25,8.07,Pass
24,0.59,2,1,9,18,11.09,Fail
25,0.64,10,7,5,17,9.69,Pass
26,0.96,7,10,8,27,5.62,Pass
27,0.81,2,1,6,27,12.1,Fail
28,0.98,5,8,2,16,3.16,Pass
29,0.71,9,2,7,27,7.97,Pass
30,0.66,7,3,7,23,14,Fail
31,0.61,6,5,6,13,6.33,Pass
32,0.91,4,5,0,12,18.79,Fail
33,0.74,4,10,9,21,5.59,Pass
34,0.67,7,10,1,29,3.81,Pass
35,0.35,9,2,3,16,3.45,Pass
36,0.63,2,0,7,17,8.41,Pass
37,0.46,3,10,2,22,9.86,Pass
38,0.67,4,10,3,28,0,Pass
39,0.37,9,1,7,29,5.75,Pass
40,0.41,4,6,5,24,14,Fail
41,0.96,2,2,4,18,9.96,Pass
42,0.98,9,10,0,16,1.36,Pass
43,0.35,8,2,1,21,11.1,Fail
44,0.87,1,0,10,11,19.64,Fail
45,0.36,9,7,9,29,4.13,Pass
46,0.8,2,6,6,16,0.97,Pass
47,0.72,5,1,9,15,12.85,Fail
48,0.42,6,9,5,21,0.64,Pass
49,0.8,0,9,4,12,8.98,Pass
50,0.48,10,9,7,23,4.57,Pass
51,0.92,9,6,6,25,8.76,Pass
52,0.6,1,10,5,25,5.25,Pass
53,0.94,3,9,9,15,0.86,Pass
54,0.32,8,5,3,19,7.81,Pass
55,0.82,6,9,0,27,6.33,Pass
56,0.78,8,8,3,26,0,Pass
57,0.97,9,4,0,19,3.23,Pass
58,0.74,0,0,0,25,11.79,Fail
59,0.98,8,8,0,22,12.81,Fail
60,0.49,2,1,6,27,5.26,Pass
61,0.88,0,8,9,16,9.81,Pass
62,0.98,3,9,0,22,5.71,Pass
63,0.76,4,2,8,25,0,Pass
64,0.7,10,1,7,10,14.39,Fail
65,0.94,2,6,0,24,15.11,Fail
66,0.94,5,0,7,11,6.44,Pass
67,0.3,4,0,5,27,1.76,Pass
68,0.71,2,9,2,12,11.16,Fail
69,0.31,5,1,8,13,6.94,Pass
70,0.45,2,7,8,21,6.46,Pass
71,0.81,10,0,9,12,0.73,Pass
72,0.4,4,7,1,19,9.79,Pass
73,0.79,5,1,9,28,4.65,Pass
74,0.57,6,2,0,14,5.27,Pass
75,0.71,2,1,2,12,7.75,Pass
76,0.93,9,4,2,10,11.08,Fail
77,0.61,9,1,5,12,20.78,Fail
78,0.93,3,9,5,25,1.15,Pass
79,0.69,4,9,7,22,14.74,Fail
80,0.89,3,8,6,24,1.87,Pass
81,0.63,2,7,7,26,0,Pass
82,0.44,8,8,6,24,2.77,Pass
83,0.51,9,6,6,23,6.2,Pass
84,0.72,3,3,2,19,8.84,Pass
85,0.91,1,9,5,10,17.28,Fail
86,0.98,2,1,9,15,4.64,Pass
87,0.46,4,7,1,11,2.15,Pass
88,0.85,3,7,9,29,2.25,Pass
89,0.5,9,5,7,24,1.13,Pass
90,0.83,7,9,3,21,0,Pass
91,0.56,4,6,0,21,5.87,Pass
92,0.31,2,4,5,14,2.43,Pass
93,0.88,3,1,6,19,4.62,Pass
94,0.39,7,10,4,20,4.29,Pass
95,0.59,3,9,3,26,0,Pass
96,0.41,9,8,6,17,8.57,Pass
97,0.83,7,8,7,17,6.22,Pass
98,0.77,8,3,8,28,2.33,Pass
99,0.87,10,2,2,27,9.92,Pass
100,0.76,3,4,5,15,4.94,Pass
101,0.53,3,8,0,15,3.68,Pass
102,0.77,0,2,4,27,13.32,Fail
103,0.83,3,5,2,11,12.51,Fail
104,0.39,6,1,1,22,3.98,Pass
105,0.36,2,9,1,15,2.4,Pass
106,0.45,2,6,9,27,14.13,Fail
107,0.88,7,0,0,25,6.26,Pass
108,0.43,2,1,7,27,11.4,Fail
109,0.36,2,4,6,26,3.36,Pass
110,0.43,9,8,3,14,7.67,Pass
111,0.54,8,5,7,18,11.33,Fail
112,0.58,6,6,1,21,3.59,Pass
113,0.62,6,6,6,24,7.18,Pass
114,0.76,4,7,7,17,8.42,Pass
115,0.91,9,0,7,21,0.75,Pass
116,0.31,10,0,10,14,3.46,Pass
117,0.83,5,10,4,13,13.14,Fail
118,0.8,10,5,0,17,0,Pass
119,0.45,1,0,4,15,8.65,Pass
120,0.83,10,9,1,26,11.76,Fail
121,0.46,4,0,0,14,21.21,Fail
122,0.39,0,3,3,16,9.67,Pass
123,0.4,8,7,3,10,1.67,Pass
124,0.38,9,2,9,22,10.38,Fail
125,0.58,9,10,7,28,17.03,Fail
126,0.76,4,4,4,23,9.61,Pass
127,0.44,4,10,8,14,12.01,Fail
128,0.52,4,6,10,14,4.49,Pass
129,0.5,4,4,2,25,7.17,Pass
130,0.57,8,9,2,14,4.77,Pass
131,0.96,0,3,0,28,9.51,Pass
